GeneID	GSM5686692	GSM5686693	GSM5686694	GSM5686695
100287102	9	7	5	2
653635	257	385	311	252
102466751	8	19	17	18
107985730	0	1	0	0
100302278	0	0	0	0
645520	0	0	0	0
79501	0	0	0	0
100996442	35	32	29	31
729737	39	45	50	43
102725121	16	19	11	9
102723897	288	350	276	237
102465909	10	9	6	6
107985721	0	0	0	0
112268260	8	13	5	9
729759	0	0	0	0
100132287	109	137	111	127
105378947	1	0	0	0
101928626	0	0	0	0
113219467	1067	1536	1102	945
81399	1	2	2	2
100133331	198	228	182	192
107984841	55	57	50	47
107984847	77	74	95	74
107984849	8	29	16	9
100288069	65	76	55	63
105378580	9	13	13	12
400728	7	5	1	5
79854	15	16	22	14
643837	233	247	182	148
107984850	1	0	0	0
284593	2	1	1	1
284600	15	15	8	7
100130417	9	14	5	15
107985728	31	34	42	23
148398	213	317	196	194
26155	2489	3355	2552	2249
339451	464	574	451	431
84069	260	304	241	242
84808	28	39	26	30
57801	308	439	359	327
9636	329	556	493	380
375790	4686	6157	4883	4756
100288175	13	25	13	17
112267874	6	6	4	4
105378948	10	19	13	8
401934	0	1	1	0
54991	273	357	293	291
254099	0	0	0	0
406984	0	0	0	0
406983	0	0	0	0
554210	0	0	0	0
100506376	0	0	0	0
254173	0	0	0	0
8784	0	0	0	0
7293	2	2	4	1
51150	2742	3956	2924	2322
126792	465	741	580	400
388581	9	5	7	3
118424	926	1192	868	803
101928895	30	38	45	44
6339	62	126	67	76
116983	842	1136	939	888
102465434	0	0	1	1
109623456	8	9	10	6
126789	209	255	202	169
54973	995	1477	1072	921
102465435	7	5	6	5
80772	531	675	533	449
83756	10	14	21	13
1855	1327	1921	1460	1231
102466740	6	6	2	3
54587	198	255	223	187
54998	1287	1754	1284	979
81669	2030	2813	2176	1940
148413	151	218	193	145
55052	504	807	623	492
107984868	0	2	2	1
441869	1	1	1	0
105378585	0	1	0	0
643965	0	0	0	0
102724312	0	0	0	0
107985729	0	0	0	0
64856	5	16	6	3
219293	35	33	29	16
83858	969	1162	910	860
55210	1517	2087	1628	1345
339453	75	103	77	53
29101	1680	2267	1686	1279
643988	188	339	217	190
105378586	16	27	33	19
142678	984	1241	1048	810
8510	12	31	23	14
984	1179	1528	1115	1100
728661	1623	1956	1549	1377
8511	4	18	10	4
728642	783	1086	718	713
9906	398	523	419	404
112268218	55	65	54	48
65220	849	1164	936	804
2782	6496	8529	6808	6166
105378949	15	28	21	28
163688	4	5	1	5
339456	0	1	0	0
85452	0	0	0	0
107984872	0	0	0	0
105378589	0	0	0	0
2563	0	0	0	0
105378590	0	0	0	0
105378591	0	0	0	0
5590	53	85	66	70
100506504	8	12	8	6
199990	545	757	589	480
112268219	62	104	70	101
105378593	1	4	2	3
6497	1805	2066	1581	1590
79906	90	108	87	88
100129534	14	33	26	23
11079	1390	2073	1502	1288
5192	254	391	275	255
9651	11	19	20	10
55229	505	743	594	473
388585	0	0	0	0
115110	143	213	81	73
8764	640	891	430	359
100996583	0	1	2	3
127281	514	814	612	491
79258	53	75	64	55
105378597	0	0	0	0
100287898	3	1	3	6
105378603	0	0	0	0
105378602	0	0	0	0
105378601	0	0	0	0
112268220	0	0	0	0
107985732	0	0	0	0
105378600	0	0	0	0
105378598	0	0	0	0
107984904	0	0	0	0
105378599	0	0	0	0
140625	0	0	0	0
440556	0	0	0	1
63976	0	0	0	0
100422968	0	0	0	0
105378606	0	0	0	0
107984909	0	0	0	0
105378605	0	0	0	0
105378604	0	0	0	1
27237	9	5	2	6
1953	492	565	459	403
105378608	0	0	0	0
693135	0	0	0	0
105378607	0	0	0	0
127262	630	801	612	463
49856	405	643	470	448
7161	463	616	495	419
105378610	1	0	3	0
105378609	0	1	0	0
57212	737	876	699	658
148870	2	0	2	2
388588	1	11	5	3
57470	801	1147	833	788
9731	410	530	402	365
1677	91	119	110	72
107984910	13	8	3	4
339448	342	473	333	267
100133612	28	34	25	27
728716	0	0	0	0
105376672	0	0	0	0
105376673	0	0	0	0
284661	0	0	0	0
105376674	0	0	0	0
105376679	0	0	0	0
107985376	0	0	0	0
55966	0	2	0	0
105376680	0	0	0	0
102724429	0	0	0	0
105376681	0	0	0	0
105376682	0	0	0	0
107984911	0	0	0	0
105376686	0	0	0	0
100616421	1	0	0	0
261734	529	704	521	470
8514	106	129	107	74
26038	76	109	92	74
105376687	0	0	0	0
6146	3262	4613	3489	2866
107985733	79	106	69	77
102724450	29	38	35	20
388591	290	322	251	275
23463	2917	4002	3021	2661
148645	3	4	5	5
390992	0	0	0	0
387509	82	86	89	60
11332	817	1195	864	733
54626	0	1	2	0
83715	2	4	5	6
100422975	0	0	0	0
8718	116	111	97	102
57449	314	373	312	255
79707	429	506	418	433
80835	0	0	0	0
107984912	0	0	0	0
3104	222	295	186	172
9903	1313	1728	1178	932
107984913	11	12	9	14
148479	963	1293	1024	925
90326	254	388	319	278
55735	914	1112	968	763
100505887	0	0	0	0
110841581	0	1	0	1
23261	349	506	388	348
105376692	0	0	0	0
102725193	0	0	0	0
101928836	0	0	0	0
105376691	0	0	0	0
105376689	6	15	7	6
9341	1318	1676	1271	1131
8863	736	994	813	748
10911	3	0	0	1
3604	2	5	0	0
11315	2104	3017	2302	1978
54206	1892	2333	1951	1722
107984915	0	0	0	0
102724539	0	0	0	0
105376695	0	0	0	0
50651	30	24	19	26
473	4369	4995	3537	3570
102724552	1	1	1	5
106632271	0	0	0	0
2023	37392	52833	41073	34571
102465436	3	56	8	1
100505975	27	29	13	20
112268261	0	2	0	0
765	0	0	0	0
155184	0	0	0	0
6518	11	7	10	9
80045	72	89	76	59
106614088	197	220	209	193
407040	5	3	1	3
102724571	18	20	16	8
9563	316	401	336	325
80176	218	282	180	181
100506022	25	29	32	14
84275	123	192	160	124
199953	838	1194	856	783
107985734	10	24	23	19
105376712	0	0	0	0
5293	258	285	209	223
644997	0	0	0	0
101929074	6	11	8	3
22883	5591	6974	5392	4827
56998	308	356	301	245
105376717	45	54	35	33
84328	501	696	491	452
64802	189	271	190	185
113391335	0	1	0	0
100847055	0	0	0	0
116362	9	25	14	12
10277	1638	2133	1596	1482
23095	1606	1772	1462	1427
105376725	1	1	0	1
5226	4046	5540	3806	3127
100526739	83	109	103	79
